pattern,label,m9ness,notes
101204,GOOD,M9_STRONG,Visually reviewed September 4 field result: balanced exposure; highlights held; dense shadows retain separation; restrained non-HDR rendering; reasonably strong M9 resemblance
IMG_20260904_163553_1788536153169_00,GOOD,,Part-3 same-build R3.8 control; woodland/tree scene has dense M9 shadows but useful separation and no placement failure; prior global ordinal annotation retracted
IMG_20260904_163847_1788536327166_00,GOOD,,Part-3 same-build R3.8 control; ordinary woodland path remains photographically coherent without corrective need; prior global ordinal annotation retracted
IMG_20260904_164247_1788536567395_00,GOOD,,Part-3 same-build R3.8 control; tree-base/foliage scene has useful body and restrained highlights; prior global ordinal annotation retracted
IMG_20260904_164331_1788536611192_00,GOOD,,Part-3 same-build R3.8 hard negative; bright white swan against dark field is intentionally high-contrast but subject is correctly placed; prior global ordinal annotation retracted
IMG_20260904_164402_1788536642539_00,GOOD,,Part-3 same-build R3.8 hard negative; positive capture intent with white swan behind rail remains photographically plausible and must not trigger DARK solely from dark surroundings; prior global ordinal annotation retracted
IMG_20260904_164510_1788536710636_00,GOOD,,Part-3 same-build R3.8 ordinary path/swan control; placement is healthy; prior global ordinal annotation retracted
IMG_20260904_164525_1788536725121_00,GOOD,,Part-3 same-build R3.8 ordinary path/swan control; placement is healthy; prior global ordinal annotation retracted
IMG_20260904_164707_1788536827532_00,GOOD,,Part-3 same-build R3.8 bench/path control; strong sun and deep shade remain photographically coherent; prior global ordinal annotation retracted pending full visual-order reconstruction
IMG_20260904_164736_1788536856690_00,GOOD,,Part-3 same-build R3.8 swan control; useful subject/body placement retained; prior global ordinal annotation retracted
IMG_20260904_164814_1788536894347_00,GOOD,,Part-3 same-build R3.8 tree/path control; normal dense M9 rendering without placement failure; prior global ordinal annotation retracted
172954,GOOD,,Prior visual review: current JPEG already well placed; photographic target approximately 0 to +0.15 EV
174532,GOOD,,Intentional silhouette / gray-sky neutral PASS; true 0 EV capture; darkness is intentional and must not be treated as starvation
191403,GOOD,,Globally dark surroundings with adequately placed subject; only small modeled adjustment around +0.13 EV
